file_1_file_1_g3794	-
file_1_file_1_g3795	-
file_1_file_1_g3797	-
file_1_file_1_g3799	-
file_1_file_1_g3800	-
file_1_file_1_g3804	SUOX
file_1_file_1_g3805	TPP2
file_1_file_1_g3806	MAD2L2
file_1_file_1_g3807	TPP2
file_1_file_1_g3808	-
file_1_file_1_g3809	-
file_1_file_1_g3810	-
file_1_file_1_g3811	-
file_1_file_1_g3812	-
file_1_file_1_g3813	-
file_1_file_1_g3814	-
file_1_file_1_g3817	-
file_1_file_1_g3818	-
file_1_file_1_g3819	-
file_1_file_1_g3820	LCT
file_1_file_1_g3821	SLC30A2
file_1_file_1_g3823	MAOB
file_1_file_1_g3825	TMEM205
file_1_file_1_g3826	FICD
file_1_file_1_g3827	KIF2A
file_1_file_1_g3830	-
file_1_file_1_g3831	JMJD6
file_1_file_1_g3832	COX5A
file_1_file_1_g3833	NRF1
file_1_file_1_g3834	COQ7
file_1_file_1_g3835	WIF1
file_1_file_1_g3836	CHL1
file_1_file_1_g3837	-
file_1_file_1_g3838	SFMBT1
file_1_file_1_g3839	TMEM63C
file_1_file_1_g3840	SSR2
file_1_file_1_g3841	ZW10
file_1_file_1_g3842	WBSCR16
file_1_file_1_g3843	MED27
file_1_file_1_g3845	-
file_1_file_1_g3847	Gli
file_1_file_1_g3848	ARMC3
file_1_file_1_g3849	-
file_1_file_1_g3850	-
file_1_file_1_g3851	OSBPL1A
file_1_file_1_g3852	OSBPL1A
file_1_file_1_g3853	-
file_1_file_1_g3854	EFCAB1
file_1_file_1_g3857	-
file_1_file_1_g3858	ADI1
file_1_file_1_g3859	primo-1
file_1_file_1_g3861	F46H5.3
file_1_file_1_g3862	CHRAC1
file_1_file_1_g3863	-
file_1_file_1_g3864	-
file_1_file_1_g3865	-
file_1_file_1_g3866	RRNAD1
file_1_file_1_g3867	PIGZ
file_1_file_1_g3868	hda-6
file_1_file_1_g3869	MIPEP
file_1_file_1_g3870	CUL4A
file_1_file_1_g3871	bib
file_1_file_1_g3872	bib
file_1_file_1_g3873	RAB6B
file_1_file_1_g3874	FAM8A1
file_1_file_1_g3875	ARRB1
file_1_file_1_g3877	U2SURP
file_1_file_1_g3878	KIF21B
file_1_file_1_g3879	KIF21B
file_1_file_1_g3881	-
file_1_file_1_g3882	LIX1L
file_1_file_1_g3885	-
file_1_file_1_g3886	NUDT19
file_1_file_1_g3887	STK39
file_1_file_1_g3889	FRMD5
file_1_file_1_g3890	-
file_1_file_1_g3891	AK6
file_1_file_1_g3892	PDIA3
file_1_file_1_g3893	-
file_1_file_1_g3894	MRPS31
file_1_file_1_g3895	-
file_1_file_1_g3896	EDA
file_1_file_1_g3897	EDA
file_1_file_1_g3898	-
file_1_file_1_g3899	-
file_1_file_1_g3900	ANKMY1
file_1_file_1_g3901	phr
file_1_file_1_g3902	PTP4A1
file_1_file_1_g3903	PSMF1
file_1_file_1_g3904	KIF13B
file_1_file_1_g3905	KIF13B
file_1_file_1_g3906	KIF13B
file_1_file_1_g3907	-
file_1_file_1_g3908	-
file_1_file_1_g3909	-
file_1_file_1_g3910	-
file_1_file_1_g3911	-
file_1_file_1_g3912	-
file_2_134_g	-
file_1_file_1_g3913	-
file_1_file_1_g3914	IFT74
file_1_file_1_g3915	-
file_1_file_1_g3916	ARF6
file_1_file_1_g3917	-
file_1_file_1_g3918	FSIP2
file_1_file_1_g3922	-
file_1_file_1_g3923	-
file_1_file_1_g3924	-
file_1_file_1_g3926	-
file_1_file_1_g3927	-
file_1_file_1_g3928	-
file_1_file_1_g3929	-
file_1_file_1_g3930	-
file_1_file_1_g3931	-
file_1_file_1_g3932	FASTKD3
file_1_file_1_g3933	DHDH
file_1_file_1_g3935	OAT
file_1_file_1_g3937	-
file_1_file_1_g3939	-
file_1_file_1_g3941	-
file_1_file_1_g3942	TAX1BP3
file_1_file_1_g3943	NDUFA5
file_1_file_1_g3944	TOPORS
file_1_file_1_g3945	MAPK14
file_1_file_1_g3946	-
file_1_file_1_g3947	DIMT1
file_1_file_1_g3948	TNPO1
file_1_file_1_g3949	DMRT2
